Agency Name,Clients Served,Country,Published,Status
10XHockey,8,CA,No,Added Today
3V Sports Management Inc.,209,CA,No,Added Today
85 Sports Management LLC,89,US,No,Added Today
Academie Line Up,14,CA,No,Added Today
Achieve Sports Management,18,US,No,Added Today
AJS Sports Representation,5,US,No,Added Today
American Group Management,8,CA,No,Added Today
AMG Sports Advisors,4,US,No,Added Today
Argonaut Hockey Group,26,CA,No,Added Today
ASHR MGMT,2,CA,No,Added Today
Atlas Management Group LLC,35,US,No,Added Today
Axis Talent Management,1,US,No,Added Today
BB Hockey Development,3,CA,No,Added Today
Bergeron Hockey Agency,51,CA,No,Added Today
Black Ace Management,15,US,No,Added Today
Blue Sky Sports Agency,1,US,No,Added Today
Blueline Sports Management,3,US,No,Added Today
Brian McCann,4,CA,No,Added Today
CAA - Creative Artists Agency,310,US,No,Added Today
CCSI Sports,2,CA,No,Added Today
CEM Hockey (Cutting Edge),32,CA,No,Added Today
CHFA Hockey,156,US,No,Added Today
Coach Perspective Consultants,13,US,No,Added Today
Commonwealth Hockey Group,1,US,No,Added Today
Conacher Athlete Management,24,CA,No,Added Today
Cornerstone Management,2,US,No,Added Today
Crossen Hockey & Associates,46,CA,No,Added Today
Driven Sports Group Inc.,5,CA,No,Added Today
Dulcedo Sports & Entertainment,3,CA,No,Added Today
DW Hockey-Services,10,CA,No,Added Today
Eclipse Sport Management,25,US,No,Added Today
Edge Sports Management LLC,84,US,No,Added Today
Elite Hockey Management,6,US,No,Added Today
Elwood Sports Management LLC,2,US,No,Added Today
Emmer Sports Group,1,US,No,Added Today
Finbow Sports Management,44,CA,No,Added Today
First Line Sports Advisory,3,CA,No,Added Today
First Line Sports Agency,153,CA,No,Added Today
Forward Hockey,22,US,No,Added Today
Future Vision Hockey,1,CA,No,Added Today
Gold Star Sports Management,189,US,No,Added Today
Golden Triangle Sports Group,50,CA,No,Added Today
Groupe KAM Sports,25,CA,No,Added Today
Guiltinan Sports Group,1,CA,No,Added Today
Ice Exposure Consulting Inc.,3,CA,No,Added Today
Ice Kings Hockey Management,51,CA,No,Added Today
IceBreakers Advisory,71,US,No,Added Today
ICEHockeyAgency,22,US,No,Added Today
IceScanner Hockey Agency,41,US,No,Added Today
IHM,58,US,No,Added Today
InsideEdge Hockey,214,US,No,Added Today
International Sports Advisors,151,US,No,Added Today
iSA Pro Sports,9,US,No,Added Today
Jandec inc.,1,CA,No,Added Today
JR Consulting Group,16,US,No,Added Today
Kaizen Sports Agency,99,CA,No,Added Today
Kash Sports Management,23,US,No,Added Today
KB Sports Agent,53,CA,No,Added Today
KeySport PROF Lawers,68,CA,No,Added Today
KO Sports Inc,93,US,No,Added Today
Magnuson Hockey Agency,62,US,No,Added Today
Maloney & Thompson Sports Mgt,224,CA,No,Added Today
MAP Advisors,3,US,No,Added Today
Marych Sports Agency,24,US,No,Added Today
Maverick Sports+Entertainment,1,CA,No,Added Today
Mingoia Sports Management,18,US,No,Added Today
MIR Sports Management,10,US,No,Added Today
National Scouting Report (NSR),1,US,No,Added Today
ND Hockey-Services,51,US,No,Added Today
Nemtsev Hockey Agency,7,CA,No,Added Today
New Era Player Management,2,CA,No,Added Today
Newport Sports Management,303,CA,No,Added Today
Next Level Athletics Group,2,CA,No,Added Today
Next Level Sports Management,13,US,No,Added Today
Next Step Management,3,CA,No,Added Today
North Axis Sports,1,US,No,Added Today
Nulink Family Advisors,1,US,No,Added Today
O2K Worldwide MG,155,US,No,Added Today
Octagon Hockey,177,CA,No,Added Today
Omega Hockey Services,9,US,No,Added Today
ORR,82,CA,No,Added Today
Paramount Hockey Agency,2,CA,No,Added Today
Paul Theofanous,10,US,No,Added Today
PBH Advising,1,CA,No,Added Today
PG Sports,1,US,No,Added Today
Pipeline Advising,2,US,No,Added Today
Platinum Hockey,10,CA,No,Added Today
PLM,3,CA,No,Added Today
PNY Sports,3,US,No,Added Today
Points West Sports,6,CA,No,Added Today
Precision Hockey,1,US,No,Added Today
Pro Counsel International Inc,88,CA,No,Added Today
Progressive S & E,80,US,No,Added Today
Quartexx Management,280,CA,No,Added Today
Quest Hockey Consulting,2,US,No,Added Today
R4PA,7,US,No,Added Today
Raze Sports,39,CA,No,Added Today
RSG Hockey,195,US,No,Added Today
Schafer Hockey Group,1,US,No,Added Today
SeventyOne Hockey Agency,72,CA,No,Added Today
SGK Advising & Representation,28,US,No,Added Today
SM Sports Management Group,6,US,No,Added Today
Sporatun Sports Management,21,US,No,Added Today
Sport Agency US CAMP LLC,8,US,No,Added Today
Sports Management Group,11,US,No,Added Today
Sports Professional Management,121,US,No,Added Today
Stephen Heisler,58,US,No,Added Today
Stickland Wood,5,CA,No,Added Today
Sure Shot Hockey,13,CA,No,Added Today
The Players Group,22,US,No,Added Today
Thunder Creek Prof. Player Mgt,38,CA,No,Added Today
Titan Sport Management,24,CA,No,Added Today
TM Hockey Consulting,37,CA,No,Added Today
Tonbara Sports & Entertainment,1,CA,No,Added Today
Top Shelf Sports Management,38,CA,No,Added Today
TQS Advising,6,CA,No,Added Today
Tristone Sports Management,12,US,No,Added Today
Universal Sports Management,1,US,No,Added Today
Universal Sports Mgmt Ltd.,1,CA,No,Added Today
Uptown Hockey Inc.,8,CA,No,Added Today
USM Hockey,176,US,No,Added Today
Veritas Hockey Management,37,US,No,Added Today
Village X Sports Management,1,CA,No,Added Today
Volt Hockey Management,22,US,No,Added Today
Wasserman Hockey,294,US,No,Added Today
WCHR,12,US,No,Added Today
WD Sports & Entertainment,23,CA,No,Added Today
WIN Hockey Agency NA,39,US,No,Added Today
Worldwide Sports Mgt Group,34,US,No,Added Today
Yandle Hockey LLC,1,US,No,Added Today
1Vision Sports & Entertainment,2,US,Yes,Original
2112 Hockey Agency,44,CA,Yes,Original
369 Sports & Entertainment,5,US,Yes,Original
3G Sports,46,CA,Yes,Original
3V Sports Management,,US,Yes,Original
4D Hockey Training,,US,Yes,Original
83 LLC,207,US,Yes,Original
85 Sports Management,,US,Yes,Original
93 Hockey Services,63,US,Yes,Original
98 Hockey Management,30,US,Yes,Original
A1 Hockey Advancements,73,CA,Yes,Original
A7A Hockey,1,US,Yes,Original
Advancement Hockey Advising,270,CA,Yes,Original
Advocate Athlete,138,US,Yes,Original
Alpha Hockey Inc,36,CA,Yes,Original
AMG Sport,,US,Yes,Original
Apogee Hockey Consulting,5,US,Yes,Original
Apollo Athletics,25,US,Yes,Original
APX Advisors,88,US,Yes,Original
Ascension Management Agency,16,CA,Yes,Original
ATA Sports Management,8,CA,Yes,Original
Atlas Management Group,,US,Yes,Original
Avenue Sports Management,29,CA,Yes,Original
Bartlett Hockey,88,US,Yes,Original
Berkshire Agency,40,CA,Yes,Original
Bishop Sports,21,CA,Yes,Original
Black Aces Sports Management,16,US,Yes,Original
Blase Management Firm,5,US,Yes,Original
Bloom Hockey Advisory,48,US,Yes,Original
Blue Dragon Hockey,16,US,Yes,Original
Boston Management Group,9,US,Yes,Original
Bowman Hockey,104,US,Yes,Original
Breakout Hockey Advisory,,US,Yes,Original
Breton Management Group,14,CA,Yes,Original
Buckley Sports Management,26,US,Yes,Original
C20 Hockey,1,US,Yes,Original
CAL Sports Management,19,CA,Yes,Original
Capstone Hockey Services,1,US,Yes,Original
Center Ice Advisory,2,US,Yes,Original
Center Ice Player Management,69,US,Yes,Original
Chinook Hockey Management,20,CA,Yes,Original
CKM Sports Management,146,US,Yes,Original
Clarion Sports Management,30,CA,Yes,Original
College Hockey Family Advisor,,CA,Yes,Original
Cook Stark Management,56,US,Yes,Original
Cooney Management Company,21,US,Yes,Original
Cornerstone Hockey Advising,1,CA,Yes,Original
Cosentino Sports Management,6,CA,Yes,Original
CUTTING EDGE MANAGEMENT,,CA,Yes,Original
DB Hockey Advancement,24,CA,Yes,Original
Delta Athletic Group,,US,Yes,Original
Distinction Hockey Management,29,CA,Yes,Original
DNA Sports Management,5,US,Yes,Original
Driven Sports Group,,CA,Yes,Original
Dynamic Athlete Agency,2,CA,Yes,Original
Dynasty Hockey Group,7,CA,Yes,Original
East Coast Elite Hockey,23,US,Yes,Original
Eclipse Sports Management,,US,Yes,Original
Edge Sports Management,,US,Yes,Original
Elite Hockey Advising,17,US,Yes,Original
Elite Hockey Development Group,,Canada,Yes,Original
Endeavour Sports Group,104,CA,Yes,Original
Evolution Sports Management,9,CA,Yes,Original
FCA Hockey,62,US,Yes,Original
First Contact Hockey Advising,8,US,Yes,Original
Friesen Hockey,,CA,Yes,Original
Frontline Hockey,26,CA,Yes,Original
FT Sports Management,152,US,Yes,Original
G6 Sports Management,8,CA,Yes,Original
GDA Hockey,206,US,Yes,Original
GE Sports,5,US,Yes,Original
Gladiator Hockey Agency,42,CA,Yes,Original
Global Hockey Advisors,,US,Yes,Original
Global Hockey Consultants,11,US,Yes,Original
Global Hockey Talent,8,CA,Yes,Original
Green Mountain,5,US,Yes,Original
Groupe Smart Hockey,49,CA,Yes,Original
Gryphon Sports Management,32,CA,Yes,Original
Guardian Group,6,CA,Yes,Original
Hawkeye Hockey Services,304,US,Yes,Original
HC Advisory,30,CA,Yes,Original
HC Sports Management,50,US,Yes,Original
High End Hockey,25,US,Yes,Original
Higher Hockey Management,47,US,Yes,Original
Hockey Horizons,46,US,Yes,Original
Hockey Talent Management,,CA,Yes,Original
HPA Sports Management,74,US,Yes,Original
HPH Advising,54,US,Yes,Original
Ice Breakers Advisory,,US,Yes,Original
Impact Hockey Consulting,8,US,Yes,Original
Import Sports Management,131,CA,Yes,Original
Innovative Hockey Consultants,23,US,Yes,Original
Inside Edge Hockey,,CA,Yes,Original
JDM Sports,188,CA,Yes,Original
JL Management,11,US,Yes,Original
Johnson Pro Hockey,1,US,Yes,Original
JRC Hockey Management,73,US,Yes,Original
KAAB Sports Marketing Inc,4,CA,Yes,Original
KAM Sports,,CA,Yes,Original
KB Advising,15,CA,Yes,Original
LAKONIC SPORTS,84,CA,Yes,Original
LDC Talent,,CA,Yes,Original
Leading Edge Hockey,5,CA,Yes,Original
Link Management International,5,US,Yes,Original
Live Sports & Entertainment,9,CA,Yes,Original
Lora Athletes,11,CA,Yes,Original
Maloney & Thompson Sports Management,,CA,Yes,Original
MAP Hockey Advisors,,US,Yes,Original
MB Hockey,79,CA,Yes,Original
MC Hockey Agency,27,CA,Yes,Original
MCN Sports Advising,95,CA,Yes,Original
Meridian Hockey,42,US,Yes,Original
Mid-West Hockey Advisory,29,US,Yes,Original
Momentum Hockey,27,CA,Yes,Original
Monarch Advisory Group,78,CA,Yes,Original
Moose Hockey Sports Management,56,CA,Yes,Original
New Era Player Development,,CA,Yes,Original
New Prospect Hockey,2,CA,Yes,Original
Nexlevel hockey,224,US,Yes,Original
Next Level Hockey,,CA,Yes,Original
Next Level Performance,38,US,Yes,Original
Norton Sports Management,27,US,Yes,Original
O2K Sports Management,,US,Yes,Original
OCTANE Sports Management,122,US,Yes,Original
Oliwa Hockey Advisors,68,US,Yes,Original
Omega Hockey,,US,Yes,Original
Onlyway Sports,,US,Yes,Original
Optima World Sports,110,CA,Yes,Original
Optimize Sport,76,CA,Yes,Original
Oswin Sports Group,19,CA,Yes,Original
OT Sports Group,164,US,Yes,Original
P4 Sports Agency,3,CA,Yes,Original
Paragon Sports Consulting,141,US,Yes,Original
Paramount Advisory Group,2,CA,Yes,Original
PARAPHE Sports Management,,CA,Yes,Original
PCI Hockey,,CA,Yes,Original
Perfection Hockey Group,49,CA,Yes,Original
Phenom Hockey Agency,5,CA,Yes,Original
Pinnacle Hockey Management,83,CA,Yes,Original
Platinum Talent Agency,1,US,Yes,Original
Player Rep 24/7,50,US,Yes,Original
Popoff Sports Management,31,CA,Yes,Original
Post2Post Hockey Advising,47,US,Yes,Original
Potente Sports,4,US,Yes,Original
Premier Hockey Management,6,US,Yes,Original
Prep Hockey Advisors,1,US,Yes,Original
Prestige Hockey Placement,137,CA,Yes,Original
Pro Guidance,,CAN,Yes,Original
Pro Hockey Consulting,1,US,Yes,Original
Promotion Archie Sports Inc.,3,CA,Yes,Original
Propulsion Sports Agency,53,CA,Yes,Original
Prospect285,42,CA,Yes,Original
Prosper Sports Group Inc,84,US,Yes,Original
Puck Agency,33,US,Yes,Original
Pure Hockey Management,5,CA,Yes,Original
Pursuit Hockey Development,103,CA,Yes,Original
Quantum Hockey Agency,97,CA,Yes,Original
R.W.G. Sport Management,24,CA,Yes,Original
Recruitment Hockey,69,US,Yes,Original
Renegades Hockey LLC,10,US,Yes,Original
Rinkside Advisors,11,US,Yes,Original
Risen Sports Management,,US,Yes,Original
Rising Athletes Advisory,79,CA,Yes,Original
RRi Hockey Agency,325,CA,Yes,Original
RSA - Rick Sports Agency,23,CA,Yes,Original
Rule 1 Sports,309,US,Yes,Original
Select Hockey Management,10,US,Yes,Original
Shoot for Success,89,CA,Yes,Original
Sport Prospects,128,CA,Yes,Original
Steen Sports Systems,,US,Yes,Original
Stop It Goaltending,57,US,Yes,Original
Stretch Pass Advising,70,US,Yes,Original
Summit Sports Group,39,US,Yes,Original
Swan Hockey,3,US,Yes,Original
Talent Hockey Agency,,US,Yes,Original
TBC Hockey Advisors,11,US,Yes,Original
The Famiglia,25,US,Yes,Original
The Sports Corporation,123,CA,Yes,Original
The Will Sports Group,113,US,Yes,Original
Thunder Creek Hockey,,CA,Yes,Original
Top Draft Hockey - Ottawa,374,CA,Yes,Original
Top Hockey Prospect,20,US,Yes,Original
Top Shelf Hockey Agency,5,CA,Yes,Original
TOP Sports Advisors,,US,Yes,Original
Total Scouting LLC,5,CA,Yes,Original
Total Sports Management LLC,26,US,Yes,Original
Trailblazer Hockey Advisors,258,CA,Yes,Original
True Advising Group,2,US,Yes,Original
TSA Athletic Consulting,12,US,Yes,Original
Unlimited Sports Management,,US,Yes,Original
Vaculik Hockey,19,CA,Yes,Original
Veritas Hockey,,US,Yes,Original
VHG Management,4,US,Yes,Original
Victorious Hockey Company,,US,Yes,Original
Visionary Sports,308,CA,Yes,Original
Wingman Hockey Group,95,CA,Yes,Original
Wolfe Hockey Development,,US,Yes,Original
Women's College Hockey Recruiting,,US,Yes,Original
Worldwide Sports Management Group,,US,Yes,Original
Yarema Hockey,19,CA,Yes,Original
Zenith Hockey Management,5,CA,Yes,Original
Zero Klub Hockey,1,US,Yes,Original
